,Name,Nation,Team,Position,lowercase_name
137,Omar Marmoush,Egypt,Manchester City,ST,omar marmoush
138,Rafael Leão,Portugal,Milano FC,LW,rafael leao
139,Éder Militão,Brazil,Real Madrid,CB,eder militao
140,Romelu Lukaku,Belgium,SSC Napoli,ST,romelu lukaku
141,Isco,Spain,Real Betis,CAM,isco
142,Bradley Barcola,France,Paris SG,LW,bradley barcola
143,Moussa Diaby,France,Al Ittihad,RM,moussa diaby
144,Vivian,Spain,Athletic Club,CB,vivian
145,Ademola Lookman,Nigeria,Bergamo Calcio,ST,ademola lookman
146,Riyad Mahrez,Algeria,Al Ahli,RM,riyad mahrez
147,Alexander Sorloth,Norway,Atlético de Madrid,ST,alexander sorloth
148,Francesco Acerbi,Italy,Lombardia FC,CB,francesco acerbi
149,Stefan de Vrij,Holland,Lombardia FC,CB,stefan de vrij
150,Willi Orban,Hungary,RB Leipzig,CB,willi orban
151,Adrien Rabiot,France,Milano FC,CAM,adrien rabiot
152,Eduardo Camavinga,France,Real Madrid,CM,eduardo camavinga
153,Dominik Szoboszlai,Hungary,Liverpool,CAM,dominik szoboszlai
154,Henrikh Mkhitaryan,Armenia,Lombardia FC,CM,henrikh mkhitaryan
155,Lucas Torreira,Uruguay,Galatasaray,CDM,lucas torreira
156,Giovanni Di Lorenzo,Italy,SSC Napoli,RB,giovanni di lorenzo
157,Morten Hjulmand,Denmark,Sporting CP,CDM,morten hjulmand
158,Dejan Kulusevski,Sweden,Spurs,CM,dejan kulusevski
159,Mikel Merino,Spain,Arsenal,CM,mikel merino
160,Ayoze,Spain,Villarreal CF,ST,ayoze
161,Iñaki Williams,Ghana,Athletic Club,RM,inaki williams
162,Pedro Gonçalves,Portugal,Sporting CP,CAM,pedro goncalves
163,Joan García,Spain,FC Barcelona,GK,joan garcia
164,Álex Remiro,Spain,Real Sociedad,GK,alex remiro
165,Dávid Hancko,Slovakia,Atlético de Madrid,CB,david hancko
166,Anthony Gordon,England,Newcastle Utd,LW,anthony gordon
167,Lucas Chevalier,France,Paris SG,GK,lucas chevalier
168,Mateo Kovačić,Croatia,Manchester City,CM,mateo kovacic
169,Aleix García,Spain,Leverkusen,CM,aleix garcia
170,Thomas Partey,Ghana,Villarreal CF,CDM,thomas partey
171,Stanislav Lobotka,Slovakia,SSC Napoli,CM,stanislav lobotka
172,Jeremie Frimpong,Holland,Liverpool,RB,jeremie frimpong
173,Luka Modrić,Croatia,Milano FC,CM,luka modric
174,Sadio Mané,Senegal,Al Nassr,LM,sadio mane
175,Oliver Baumann,Germany,TSG Hoffenheim,GK,oliver baumann
176,Matheus Cunha,Brazil,Man Utd,CAM,matheus cunha
177,Zubimendi,Spain,Arsenal,CDM,zubimendi
178,Matz Sels,Belgium,Nott'm Forest,GK,matz sels
179,Gavi,Spain,FC Barcelona,CM,gavi
180,Eberechi Eze,England,Arsenal,CAM,eberechi eze
181,Balde,Spain,FC Barcelona,LB,balde
182,İlkay Gündoğan,Germany,Galatasaray,CM,ilkay gundogan
183,Loïs Openda,Belgium,Juventus,ST,lois openda
184,Palhinha,Portugal,Spurs,CDM,palhinha
185,Julian Brandt,Germany,Borussia Dortmund,CAM,julian brandt
186,Jarrod Bowen,England,West Ham,RM,jarrod bowen
187,Murillo,Brazil,Nott'm Forest,CB,murillo
188,Boubacar Kamara,France,Aston Villa,CDM,boubacar kamara
189,Nathan Aké,Holland,Manchester City,CB,nathan ake
190,Ferran Torres,Spain,FC Barcelona,LW,ferran torres
191,Angelo Stiller,Germany,VfB Stuttgart,CDM,angelo stiller
192,Piero Hincapié,Ecuador,Arsenal,CB,piero hincapie
193,Artem Dovbyk,Ukraine,AS Roma,ST,artem dovbyk
194,Hugo Ekitiké,France,Liverpool,ST,hugo ekitike
195,Iago Aspas,Spain,Celta,RW,iago aspas
196,Moise Kean,Italy,Fiorentina,ST,moise kean
197,Ronald Araujo,Uruguay,FC Barcelona,CB,ronald araujo
198,Kingsley Coman,France,Al Nassr,LM,kingsley coman
199,Leandro Trossard,Belgium,Arsenal,LW,leandro trossard
